Code,OSIPI name,Alternative names,Notation,Description,Reference
 -- , -- , -- , -- , -- , -- 
" G.US1.001 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcMeanSample""></a> Calculate arithmetic mean (sample) ", -- , Calc $\bar{x}$ ," This process returns the arithmetic mean from a given data sample.<br>**Input**:<br>[[Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}, [Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}],<br>[$n$ (Q.GE1.015)](quantities.md#sampleSize){:target=""_blank""}<br>**Output**<br>[$\bar{x}$ (Q.US1.001)](quantities.md#Mean_sample){:target=""_blank""} ", -- 
" G.US1.002 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcGeomMeanSample""></a> Calculate geometric mean (sample) ", -- , Calc $\bar{x}_{geom}$ ," This process returns the geometric mean from a given data sample.<br>**Input**:<br>[[Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}, [Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}],<br>[$n$ (Q.GE1.015)](quantities.md#sampleSize){:target=""_blank""}<br>**Output**<br>[$\bar{x}_{geom}$ (Q.US1.002)](quantities.md#GeomMean_sample){:target=""_blank""} ", -- 
" G.US1.003 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcVar""></a> Calculate variance (sample) ", -- , Calc $s^2$ ," This process returns the variance from a given data sample.<br>**Input**:<br>[[Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}, [Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}],<br>[$n$ (Q.GE1.015)](quantities.md#sampleSize){:target=""_blank""}<br>**Output**<br>[$s^2$ (Q.US1.003)](quantities.md#Var){:target=""_blank""} ", -- 
" G.US1.004 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcStd""></a> Calculate standard deviation (sample) ", -- , Calc $s$ ," This process returns the standard deviation from a given data sample.<br>**Input**:<br>[[Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}, [Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}],<br>[$n$ (Q.GE1.015)](quantities.md#sampleSize){:target=""_blank""}<br>**Output**<br>[$s$ (Q.US1.004)](quantities.md#StdDev){:target=""_blank""} ", -- 
" G.US1.005 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcMedian""></a> Calculate median value (sample) ", -- , Calc $x_{median}$ ," This process returns the median from a given data sample.<br>**Input**:<br>[[Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}, [Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}],<br>**Output**<br>[$x_{median}$ (Q.US1.005)](quantities.md#Median){:target=""_blank""} ", -- 
" G.US1.006 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcCoV""></a> Calculate coefficient of variation (sample) ", -- , Calc $CV$ ," This process returns the coefficient of variation from a given data sample.<br>**Input**:<br>[$s$ (Q.US1.004)](quantities.md#StdDev){:target=""_blank""},<br>[$\bar{x}$ (Q.US1.001)](quantities.md#Mean_sample){:target=""_blank""}<br>**Output**<br>[CV (Q.US1.006)](quantities.md#CoV){:target=""_blank""} ", -- 
" G.US1.007 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcSEM""></a> Calculate standard error ", -- , Calc $SEM$ ," This process returns the standard error of the mean value (sample) from a given data sample.<br>**Input**:<br>[$\bar{x}$ (Q.US1.001)](quantities.md#Mean_sample){:target=""_blank""},<br>[$n$ (Q.GE1.015)](quantities.md#sampleSize){:target=""_blank""}<br>**Output**<br>[SEM (Q.US1.008)](quantities.md#SEM){:target=""_blank""} ", -- 
" G.US1.008 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcRange""></a> Calculate range ", -- , Calc $r$ ," This process returns the range from a given data sample.<br>**Input**:<br>[[Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}, [Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}]<br>**Output**<br>[$r$ (Q.US1.013)](quantities.md#Range){:target=""_blank""} ", -- 
" G.US1.009 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcRange""></a> Calculate interquartile range ", -- , Calc $IQR$ ," This process returns the interquartile range from a given data sample.<br>**Input**:<br>[[Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}, [Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}]<br>**Output**<br>[$IQR$ (Q.US1.014)](quantities.md#IQR){:target=""_blank""} ", -- 
" G.US1.010 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcGQ""></a> Calculate $\gamma$-quantile ", -- , Calc $f_\gamma$ ," This process returns the gamma-quantile from a given data sample and a given gamma-quantile value.<br>**Input**:<br>[[Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}, [Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}],<br>[$\gamma$ (Q.US1.015)](quantities.md#GQV){:target=""_blank""}<br>**Output**<br>[$f_\gamma$ (Q.US1.016)](quantities.md#GQ){:target=""_blank""} ", -- 
" G.US1.011 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcPR""></a> Calculate percentile range ", -- , Calc $PR$ ," This process returns the percentile range from a given data sample and two given gamma-quantile values.<br>**Input**:<br>[[Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}, [Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}],<br>[$\gamma_1$ (Q.US1.015)](quantities.md#GQV){:target=""_blank""}<br>[$\gamma_2$ (Q.US1.015)](quantities.md#GQV){:target=""_blank""}<br>**Output**<br>[$PR$ (Q.US1.017)](quantities.md#PerRange){:target=""_blank""} ", -- 
" G.US1.012 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcCI""></a> Calculate confidence interval ", -- , Calc $CI$ ," This process returns the confidence interval from a given data sample for a given confidence interval probability.<br>**Input**:<br>[[Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}, [Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}],<br>[SEM (Q.US1.008)](quantities.md#SEM){:target=""_blank""}<br>[$df$ (Q.US1.025)](quantities.md#DoF){:target=""_blank""}<br>[$\alpha$ (Q.US1.018)](quantities.md#CIP){:target=""_blank""}<br>**Output**<br>[$CI$ (Q.US1.019)](quantities.md#CI){:target=""_blank""} ", -- 
" G.US1.013 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcSNR""></a> Calculate signal to noise ratio ", -- , Calc $SNR$ ," This process returns the signal to noise ratio.<br>**Input**:<br>[$s$ (Q.US1.004)](quantities.md#StdDev){:target=""_blank""},<br>[$\bar{x}$ (Q.US1.001)](quantities.md#Mean_sample){:target=""_blank""}<br>**Output**<br>[$SNR$ (Q.US1.020)](quantities.md#SNR){:target=""_blank""} ", -- 
" G.US1.014 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CalcCNR""></a> Calculate contrast to noise ratio ", -- , Calc $SNR$ , This process returns the contrast to noise ratio. , -- 
 -- , -- , -- , -- , <b><font color=#FF0000>The lexicon needs to be updated on google docs!</font></b> , -- 
 G.US.999 , Method not listed , -- , -- ," This is a custom free-text item, which can be used if a method of interest is not listed. Please state the doi of a literature reference and request the item to be added to the lexicon for future usage. ", -- 
