Code,OSIPI name,Alternative names,Notation,Description,Reference
 -- , -- , -- , -- , -- , -- 
" M.DM1.001 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Unit-step""></a> Unit step model ", Heaviside step model , *u* ," This forward model is given by the following equation:</br> $f(x-T)=0,\	\ x\leq T$, </br> $f(x-T)=1,\ \ x\gt T$ ,<br/>  where *T* is a defined data grid point, at which the step function changes from 0 to 1 and  $[x, f(x)]$= [[Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}, [Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}]. ", -- 
" M.DM1.002 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Linear-quad""></a> Linear-quadratic model ", -- , LQM ," This forward model is given by the following equation:<br/> $f(x)=f_{BL},\ \ x\leq BAT$, <br/> $f(x)=f_{BL}+\beta_1(x-BAT)+\beta_2(x-BAT)^2,$</br>$x\gt BAT$,  </br> where BAT is the [bolus arrival time (Q.BA1.001)](quantities.md#BAT){:target=""_blank""},  f<sub>BL</sub> the [baseline (Q.BL1.001)](quantities.md#f_BL){:target=""_blank""}, $\beta$<sub>1</sub> the slope after the BAT, $\beta$<sub>2</sub> a quadratic component and $[x, f(x)]$= [[Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}, [Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}]. ", (Cheong et al. 2003) 
" M.DM1.003 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Two-step-linear""></a> Two step linear model ", -- , 2SLM ," This forward model is given by the following equation:<br/> $f(x)=f_{BL},\ \ x\leq BAT,$ </br> $f(x)=f_{BL}+b_1(x-BAT),\ \ x\gt BAT,$ </br> where BAT is the [bolus arrival time (Q.BA1.001)](quantities.md#BAT){:target=""_blank""}, f<sub>BL</sub> is the [baseline (Q.BL1.001)](quantities.md#f_BL){:target=""_blank""}, b<sub>1</sub> the slope after the BAT and $[x, f(x)]$= [[Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}, [Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}]. ", Cheong et al. 2003 
" M.DM1.004 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Three-step-linear""></a> Three step linear mode ", -- ,3SLM ," This forward model is given by the following equation:<br/> $f(x)=f_{BL},\ \ x\leq BAT,$ <br/> $f(x)=f_{BL}+b_1(x-BAT),\ \ BAT\leq x\leq \beta,$ </br> $f(x)=f_{BL}+b_1(x-BAT)+b_2(x-\beta),\ \ x\gt\beta$ ,<br/> where BAT is the [bolus arrival time (Q.BA1.001)](quantities.md#BAT){:target=""_blank""},  f<sub>BL</sub> is the [baseline (Q.BL1.001)](quantities.md#f_BL){:target=""_blank""}, $\beta$ is the point of intersection of the 2nd and 3rd line segment. b<sub>1</sub> and b<sub>2</sub> are the slopes of the 2nd and 3rd line segments and $[x, f(x)]$= [[Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}, [Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}].", (Singh et al. 2009) 
" M.DM1.005 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Multi-exp""></a> Multi-exponential model ", -- , -- ," This forward model is given by the following equation:</br> $f(x)=A_1\cdot e^{-x\cdot a_1}+;...+A_n\cdot e^{-x\cdot a_n}$ <br/> where  A<sub>1</sub>, …, A<sub>n</sub> and a<sub>1</sub>,...,a<sub>n</sub> are arbitrary coefficients and $[x, f(x)]$= [[Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}, [Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}].", -- 
" M.DM1.006 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Gamma-variate""></a> Gamma-variate model ", -- , -- ," This forward model is given by the following equation: <br/> $f(x)=\frac{1}{\Gamma(\alpha)\beta^{\alpha}}(x-BAT)^{\alpha-1}e^{-(x-BAT)/\beta}$ </br> where BAT is the [bolus arrival time (Q.BA1.001)](quantities.md#BAT){:target=""_blank""}, $\alpha$ is a shape parameter, $\beta$ is a scale parameter, $\Gamma$($\alpha$) is the gamma function and $[x, f(x)]$= [[Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}, [Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}].", Mouridsen 2006 
" M.DM1.007 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Fermi""></a> Fermi model ", -- , -- ," This forward model is given by the following equation:<br/> $f(x)=F\cdot\frac{1+b}{1+b\cdot e^{x\cdot a}}$ ,<br/> where $F$ is the blood flow, $a$ und $b$ are arbitrary fit parameters and $[x, f(x)]$= [[Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}, [Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}]. ", (Brinch et al.  1999) 
" M.DM1.008 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Normal""></a> Normal distribution model ", Gaussian distribution model  , *N* ," This forward model is given by the following equation:<br/> $f(x)=\frac{1}{\sigma\sqrt{2\pi}}e^{-\frac{(x-\mu)^2}{2\sigma^2}},$ </br> where $\mu$ is the [mean (population) (Q.US1.007)](quantities.md#Avg){:target=""_blank""}, $\sigma$ is the [standard deviation (Q.US1.010)](quantities.md#Std){:target=""_blank""} and $[x, f(x)]$= [[Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}, [Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}]. ", -- 
" M.DM1.009 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Dirac""></a> Dirac delta model ", Unit pulse model  , *$\delta$* ," This forward model is given by the following equation:</br> $\delta(x)=+ \infty$ for $x = 0$, <br/> $\delta = 0$, elsewhere </br> with $[x, \delta(x)]$= [[Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}, [Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}]. ", -- 
