Code,OSIPI name,Alternative names,Notation,Description,Reference
 -- , -- , -- , -- , -- , -- 
" M.ID1.001 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", Central volume theorem , -- , CVT ,"This forward model is given by the following equation: </br> $v_p=MTT\cdot F_p$ </br> with </br> [MTT (Q.PH1.006)](quantities.md#MTT){:target=""_blank""},</br> [$F_p$ (Q.PH1.002)](quantities.md#Fp){:target=""_blank""}, </br> [$v_p$ (Q.PH1.001.p)](quantities.md#v){:target=""_blank""}  ", -- 
" M.ID1.002 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", Total volume of distribution , -- , -- ," This forward model is given by the following equation: </br> $v=v_p+v_e+v_i$ </br> with </br> [$v_p$ (Q.PH1.001.p)](quantities.md#v){:target=""_blank""}, </br> [$v_e$ (Q.PH1.001.e)](quantities.md#v){:target=""_blank""}, </br> [$v_i$ (Q.PH1.001.i)](quantities.md#v){:target=""_blank""}, </br> [$v$ (Q.PH1.001)](quantities.md#v){:target=""_blank""} ", -- 
" M.ID1.003 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", Blood vs plasma volume fraction , -- , -- ," This forward model is given by the following equation: </br> $v_b=\frac{v_p}{(1-Hct)}$ </br> with </br> [$v_p$ (Q.PH1.001.p)](quantities.md#v){:target=""_blank""}, </br>[$Hct$ (Q.PH1.012)](quantities.md#Hct){:target=""_blank""}, </br> [$v_b$ (Q.PH1.001.b)](quantities.md#v){:target=""_blank""}. ", -- 
" M.ID1.004 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", Blood vs plasma flow , -- , -- ," This forward model is given by the following equation: </br> $F_b=\frac{F_p}{(1-Hct)}$ </br> with </br> [$F_p$ (Q.PH1.002)](quantities.md#Fp){:target=""_blank""},</br> [$Hct$ (Q.PH1.012)](quantities.md#Hct){:target=""_blank""}, </br> [$F_b$ (Q.PH1.003)](quantities.md#Fb){:target=""_blank""}", -- 
" M.ID1.005 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", Blood vs plasma AIF , -- , -- ," This forward model is given by the following equation: </br> $C_{a,b}(t)=C_{a,p}(t)\cdot(1-Hct_a)$, </br> with </br> [[$C_{a,p}$ (Q.IC1.001.a,p)](quantities.md#C){:target=""_blank""}, [t (Q.GE1.004)](quantities.md#time){:target=""_blank""}], </br> [[$C_{a,b}$ (Q.IC1.001.a,b)](quantities.md#C){:target=""_blank""}, [t (Q.GE1.004)](quantities.md#time){:target=""_blank""}], </br> [$Hct_a$ (Q.PH1.012.a)](quantities.md#Hct){:target=""_blank""}  ", -- 
" M.ID1.006 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", Small vessel hematocrit correction , -- , -- ," This forward model is given by the following equation: </br> $Hct_f=\frac{1-Hct_a}{1-Hct_t}$ </br> with </br> [$Hct_a$ (Q.PH1.012.a)](quantities.md#Hct){:target=""_blank""}, </br>[$Hct_t$ (Q.PH1.012.t)](quantities.md#Hct){:target=""_blank""},</br> [$Hct_f$ (Q.PH1.013)](quantities.md#Hctf){:target=""_blank""}", -- 
" M.ID1.007 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", Compartment extraction fraction , -- , -- ," This forward model is given by the following equation: </br> $E=\frac{PS}{F_p+PS}$ </br> with </br> [$PS$ (Q.PH1.004)](quantities.md#PS){:target=""_blank""},</br>  [$F_p$ (Q.PH1.002)](quantities.md#Fp){:target=""_blank""},</br> [$E$ (Q.PH1.005)](quantities.md#E){:target=""_blank""}", -- 
" M.ID1.008 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", Plug flow extraction fraction , -- , -- ," This forward model is given by the following equation: </br> $E=1-e^{-\frac{PS}{F_p}}$ </br> with </br> [$PS$ (Q.PH1.004)](quantities.md#PS){:target=""_blank""},</br> [$F_p$ (Q.PH1.002)](quantities.md#Fp){:target=""_blank""},</br> [$E$ (Q.PH1.005)](quantities.md#E){:target=""_blank""} ", -- 
" M.ID1.009 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", Plasma MTT identity , -- , -- ," This forward model is given by the following equation: </br> $MTT_p=\frac{v_p}{F_p+PS}$ </br> with </br> [$v_p$ (Q.PH1.001.p)](quantities.md#v){:target=""_blank""}, </br> [$PS$ (Q.PH1.004)](quantities.md#PS){:target=""_blank""}, </br> [$F_p$ (Q.PH1.002)](quantities.md#Fp){:target=""_blank""}, </br> [$MTT_p$ (Q.PH1.006.p)](quantities.md#MTT){:target=""_blank""} ", -- 
