Code,OSIPI name,Alternative names,Notation,Description,OSIPI units,Reference
 -- , -- , -- , -- , -- , -- , -- 
" Q.US1.001 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Mean_sample""></a> Arithmetic mean (sample) ", Average , $\bar{x}$ ," The mean value of a given data sample *[x<sub>1</sub>,...,x<sub>n</sub>]*, with sample size n, calculated as <br /> $\bar{x}=\frac{1}{n}\sum_{i=1}^{n}x_i$.", variable , -- 
" Q.US1.002 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""GeomMean_sample""></a> Geometric mean (sample) ", -- , $\bar{x}_{geom}$ ," The mean value of a given data sample *[x<sub>1</sub>,...,x<sub>n</sub>]*, with sample size n, calculated as <br /> $\bar{x}_{geom}=\sqrt[n]{\prod_{i=1}^{n}x_i}$", variable, -- 
" Q.US1.003 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Var""></a> Variance (sample) ", -- , *s<sup>2</sup>* ," Mean squared deviation of the mean of a given data set *[x<sub>1</sub>,...,x<sub>n</sub>]* with sample size *n* and mean value $\bar{x}$, calculated as <br /> $s^2=\frac{\sum_{i=1}^{n}(x_i-\bar{x})^2}{n-1}$.", variable<sup>2</sup> , -- 
" Q.US1.004 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""StdDev""></a> Standard deviation (sample)", -- , *s* ," The standard deviation of the mean value of a given data set *[x<sub>1</sub>,...,x<sub>n</sub>]* with sample size *n* and mean value $\bar{x}$ , calculated as <br /> $s^2=\sqrt{\frac{\sum_{i=1}^{n}(x_i-\bar{x})^2}{n-1}}$. ", variable , -- 
" Q.US1.005 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Median""></a> Median value (sample) ", -- , *x<sub>median</sub>* , Centermost point $x_{\frac{n+1}{2}}$ of ordered data points $\left[x_{1}\leq x_{2}...\leq x_{n-1}\leq x_{n}\right]$ for an odd number of samples or the average of the two centermost points $\frac{x_{n/2}+x_{n/2+1}}{2}$ for an even number of samples. , variable , -- 
" Q.US1.006 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CoV""></a> Coefficient of variation (sample) ", -- , CV ," The standard deviation (sample) _s_ of a given data set divided by the mean value (sample) $\bar{x}$ same dataset (only applicable to ratio scaled variables), calculated as $CV=\frac{s}{\bar{x}}$ ", variable , -- 
" Q.US1.007 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Avg""></a> Mean (population) ", -- , $\mu _{x}$ , The mean is a parameter used to characterize the center of a population distribution of the quantity _x_. <br /> (Remark: For simplicity the subscript x can be omitted.) , variable , -- 
" Q.US1.008 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""SEM""></a> Standard error of the mean ", Standard error , SEM , The SEM quantifies how precisely the population mean $\mu _{x}$ is estimated from the sample mean. $\bar{x}$ of a sample of size _n_ : <br /> $SEM = \frac{s}{\sqrt{n}}$, variable , -- 
" Q.US1.009 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Var""></a> Variance (population) ", -- , $\sigma_{x}^2$ , The variance is a parameter used to characterize the amount of variation or dispersion of a population distribution of the quantity _x_. <br /> (Remark: For simplicity the subscript x can be omitted.) , variable<sup>2</sup> , -- 
" Q.US1.010 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Std""></a> Standard deviation (population) ", -- , $\sigma_{x}$ , The standard deviation is a parameter used to characterize the amount of variation or dispersion of a population distribution of the quantity _x_. <br /> (Remark: For simplicity the subscript x can be omitted.) , variable , -- 
" Q.US1.011 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""EstVar""></a> Estimated variance (population) ", -- , $\hat{\sigma_x^2}$ , The estimated variance of a population distribution of the quantity _x_. , variable , -- 
" Q.US1.012 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""EstCvr""></a> Estimated covariance ", -- , $\hat{\sigma_{xy}^2}$ , The estimated covariance of two quantities _x_ and _y_. , variable , -- 
" Q.US1.013 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Range""></a> Range ", -- , r ," The range of a dataset $\left[ x_1, ..., x_n \right]$ is given as $r = \left[ x_{min}, x_{max} \right]$ ", variable , -- 
" Q.US1.014 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""IQR""></a> Interquartal range ", -- , IQR ," The interquartile range of a data set $\left[ x_1, ..., x_n \right]$ is determined by dividing the ordered data into 4 equally sized groups with $\geq 25\%$ of values $\leq Q_1$ and $\geq 75\%$ of values $\leq Q_3$ and calculating $IQR=Q_3-Q_1$. ", variable , -- 
" Q.US1.015 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""GQV""></a> Gamma-quantile value ", -- , $\gamma$ , The number $0 \leq \gamma \leq 1$ defining the $\gamma$-quantile. , -- , -- 
" Q.US1.016 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""GQ""></a> Gamma-quantile ", $\left( \gamma * 100\% \right)^{th}$ percentile , $f_\gamma$ ," For $0 \leq \gamma \leq 1$, $f_\gamma$ is the $\gamma$-quantile of a distribution if $\gamma * 100\%$ of the values (distributed according to f) lie below $f_\gamma$ and $(1-\gamma) * 100\%$ of the values lie above it. ", -- , -- 
" Q.US1.017 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""PerRange""></a> Percentile range ", -- , PR , The difference between two $\gamma$-quantiles $f_{\gamma_1} - f_{\gamma_2}$. , -- , -- 
" Q.US1.018 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CIP""></a> Confidence interval probability ", -- , $\alpha$ , The probability $(1-\alpha)\%$ with which a confidence interval covers a population parameter. , -- , -- 
" Q.US1.019 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CI""></a> Confidence interval ", -- , CI , The interval which contains a population parameters with a probability of $(1-\alpha)\%$. , -- , -- 
" Q.US1.020 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""SNR""></a> Signal to noise ratio ", -- , SNR , The mean value (sample) of a given data set $\bar{x}$ divided by the standard deviation (sample) _s_ from the same dataset: $\frac{\bar{x}}{s}$ , -- , -- 
" Q.US1.021 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CNR""></a> Contrast to noise ratio ", -- , CNR ," The absolute deviation of a given data value $f_1$ from another data value $f_2$, divided by the standard deviation _s_ (noise), all from the same data set: $\frac{\left\| f_1 - f_2 \right\|}{s}$ ", -- , -- 
" Q.US1.022 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CR""></a> Contrast ratio ", -- , CR ," The absolute deviation of a given data value $f_1$ from another data value $f_2$, divided by the sum of the two data values: $\frac{\left\| f_1 - f_2 \right\|}{f_1 + f_2}$ ", -- , -- 
" Q.US1.023 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""SSE""></a> Sum of squared errors ", -- , SSE ," $SSE = \sum_{i=0}^{N}\left[ f(t_i) - f_{model}(t_i)\right]^2$, where _N_ is the number of samples, $f(t_i)$ measured value and $f_{model}(t_i)$ is the modeled value. This is valid for linear and non-linear least-squares optimization. ", variable , -- 
" Q.US1.024 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""GoFP""></a> Goodness-of-fit parameter ", -- , $\chi^2$ ," $\chi^2 = \frac{SSE}{\sigma_N^2}$, where $\sigma_N^2$ is the random noise variance. This is valid for linear and non-linear least-squares optimization. ", -- , -- 
" Q.US1.025 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""DoF""></a> Degrees of freedom ", -- , _df_ ," $N-p$, where _N_ is the number of samples and _p_ is the number of quantities to be determined e.g. model parameters. ", -- , -- 
" Q.US1.026 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""AIC""></a> Akaike-information-criterion ", -- , AIC ," $AIC = 2p + Nln(SSE)$, where _p_ is the number of model parameters, _N_ is the number of samples.<br /> This is valid for linear and non-linear least-squares optimization. ", -- , -- 
" Q.US1.027 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""JM""></a> Jacobian matrix ", -- , _J_ ," _J_ is a matrix of the first derivatives of a function _f(x)_ with respect to the parameters $p_1,...,p_n$: $J_{ij}(x) = \left[ \frac{df_j(x)}{dp_i} \right]$ ", variable , -- 
" Q.US1.028 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""HM""></a> Hessian matrix ", -- , _H_ ," _H_ is a matrix of the second derivatives of a function _f(x)_ with respect to the parameters $p_1,...,p_n$: $H_{ij}(x) = \frac{\partial^2f(x)}{\partial p_i \partial p_j}$ ", variable , -- 
" Q.US1.029 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CovM""></a> Covariance matrix ", -- , _Cov_ , $Cov = (J^T \cdot J)^{-1} \cdot \frac{SSE}{df}$ , variable , -- 
" Q.US1.030 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CRLB""></a> Cramer Rao lower bound ", -- , CRLB , Lower bound on the variance of any unbiased estimator. , variable , -- 
 Q.US1.999 ,  Quantity not listed , -- , -- ," This is a custom free-text item, which can be used if a quantity of interest is not listed. Please state a literature reference and request the item to be added to the lexicon for future usage. ", [variable] , -- 
