Code,OSIPI name,Alternative names,Notation,Description,OSIPI units,Reference
 -- , -- , -- , -- , -- , -- , -- 
" Q.CD1.001 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""f(x_i)""></a> Data value at data grid point ", -- , $f(x_i)$ , The data value at the data grid point $x_i$. , variable , -- 
" Q.CD1.002 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""f_max""></a> Maximum value ", -- , $f_{max}$ , The maximum value of given data. , variable , -- 
" Q.CD1.003 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""x_max""></a> Data grid point of maximum value", -- , $x_{max}$ , The data grid point at which the maximum value of a given data set occurs. , variable , -- 
" Q.CD1.004 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""f_min""></a> Minimum value ", -- , $f_{min}$ , The minimum value of given data. , variable , -- 
" Q.CD1.005 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""x_min""></a> Data grid point of minimum value ", -- , $x_{min}$ ,The data grid point at which the minimum value of a given data set occurs. , variable , -- 
" Q.CD1.006 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""f_fin""></a> Final data value ", -- , $f_{fin}$ , The value of the data at the last data grid point. , variable , --
" Q.CD1.007 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""x_fin""></a> Final data grid point ", -- , $x_{fin}$ , The last point of a given data grid. , variable , -- 
" Q.CD1.008 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""maxDev""></a> Maximum deviation from baseline ", -- ," $\Delta f_{BL, max}$ ", The maximum absolute deviation of a given data set from the baseline. , variable , -- 
" Q.CD1.009 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Deriv""></a> Derivative at data grid point $x_i$ ", -- , $\frac{df(x_{i})}{dx}$ , Derivative of a function _f_ with respect to the independent variable _x_ at the data grid point $x_i$. , variable , -- 
" Q.CD1.010 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""TTP""></a> Time to peak ", -- , *TTP* ," The time between the bolus arrival time (BAT) and the maximum time point *x<sub>max</sub>*: $TTP = x_{max} - BAT$ <br/>(Remark: this is expressed for time rather than a general data grid, because TTP is an often used parameter in perfusion analysis). ", variable , -- 
" Q.CD1.011 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""WIS""></a> Wash-in-slope ", -- , *WIS* , The ratio of the difference of the maximum data value $f_{max}$ and the baseline value $f_{BL}$ and the time to peak: $WIS = \frac{f_{max}-f_{BL}}{TTP}$  , $\frac{variable_{1}}{variable_{2}}$ , -- 
" Q.CD1.012 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""WOS""></a> Wash-out-slope ", -- , *WOS* , The ratio of the difference of the maximum data value $f_{max}$ and the data value at the last data grid point $f_{fin}$ and difference between the last time point and the time at which the maximum occurs: $WOS = \frac{f_{max}-f_{fin}}{x_{max}-x_{fin}}$ , $\frac{variable_{1}}{variable_{2}}$ , -- 
" Q.CD1.013 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""AUC""></a> Area under curve ", --," $AUC_{x_{start}, x_{end}}$ "," The integral value of a given dynamic function _f_ (or the numeric approximation for discrete data $[f_{1}, ...f_{n}]$ ) between the data grid points $x_{1}$ and $x_{2}$.  ", $variable_{1} * variable_{2}$ , --
 Q.DC1.999 ," <a id=""not listed DC1""></a> Quantity not listed ", -- , -- ," This is a custom free-text item, which can be used if a quantity of interest is not listed. Please state a literature reference and request the item to be added to the lexicon for future usage. ", [variable] , -- 
