Code,OSIPI name,Alternative names,Notation,Description,OSIPI units,Reference
 -- , -- , -- , -- , -- , -- , -- 
" Q.PH1.001.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""v""></a> Relative volume fraction ", -- , *v<sub>j</sub>* ," The relative volume fraction of compartment *j*. Only capillary vasculature is considered, thus the *c* subscript is dropped. ", mL/100mL , -- 
" Q.PH1.002 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Fp""></a> Blood plasma flow", -- , *F<sub>p</sub>* , The volume of blood plasma flowing into a unit tissue volume per unit time. The flow inputs and exits the capillary vasculature. , mL/min/100mL , -- 
" Q.PH1.003 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Fb""></a> Blood flow ", Cerebral blood flow (CBF) , *F<sub>b</sub>* , The volume of blood flowing into a unit tissue volume per unit time. The flow inputs and exits the capillary vasculature. , mL/min/100mL , -- 
" Q.PH1.004 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""PS""></a> Permeability surface area product ", Extraction flow (FE) , *PS* , The volume of tissue plasma that is fully cleared of indicator in a unit of time by a unit tissue volume. , mL/min/100mL , -- 
" Q.PH1.005 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""E""></a> Extraction fraction ", -- , *E*  , The fraction of indicator particles that is extracted from plasma in one pass through the vasculature. , -- , -- 
" Q.PH1.006.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""MTT""></a> Mean transit time", -- , *MTT<sub>j</sub>* , The average time the indicator spends in compartment *j* before exchanging into another compartment. , s , -- 
" Q.PH1.007 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Ta""></a> Arterial delay time ", -- , *T<sub>a</sub>*  , Delay between indicator arrival at the arterial input function location and the voxel or tissue region of interest. , s , -- 
" Q.PH1.008 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Ktrans""></a> Volume transfer constant ", Transfer constant , *K<sup>trans</sup>* ," The rate of indicator particle delivery from the blood plasma to the extravascular, extracellular volume per unit of tissue volume, per unit arterial plasma concentration. ", 1/min , -- 
" Q.PH1.009.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""k""></a> Indicator exchange rate ", -- , *k<sub>j</sub>*  , Indicator exchange  rate constant between two compartments (e.g. $k_{e \to b}$) , 1/s , -- 
" Q.PH1.010.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""kw""></a> Water exchange rate  "," *k<sub>in</sub>*, *k<sub>out</sub>* "," *k<sub>w,j</sub>* "," Equilibrium water exchange rate between two compartments  (e.g. $k_{w, e \to b}$)  ", 1/s , -- 
" Q.PH1.011 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""rho""></a> Density ", -- , $\rho$ , The density of the tissue of interest. , g/mL , -- 
" Q.PH1.012.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Hct""></a> Hematocrit ", -- , *Hct<sub>j</sub>*  , The volume percentage of red blood cells in the blood compartment *j*. , -- , -- 
" Q.PH1.013 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Hctf""></a> Hematocrit factor",-- , *Hct<sub>f</sub>* , Blood flow correction factor accounting for the difference in arterial hematocrit *Hct<sub>a</sub>* and capillary hematocrit *Hct<sub>c</sub>*., -- , -- 
" Q.PH1.014 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CTTH""></a> Capillary transit time heterogeneity ", -- , *CTTH* , Standard deviation of the capillary transit time distribution., s , -- 
" Q.PH1.015 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""OEFmax""></a> Maximum oxygen extraction fraction", -- , OEF<sup>max</max> , Upper biophysical limit of the proportion of oxygen that can be extracted by tissue. , -- , --
" Q.PH1.016.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""PELoW""></a> Pre-exchange lifetime of water ", -- , $\tau_j$ , The average time water molecules spend in compartment j before exchanging into another compartment. , $s^{-1}$ ," [Donahue et al. 1997](https://doi.org/10.1002/jmri.1880070114){:target=""_blank""},<br/> [Woessner 1961](https://doi.org/10.1063/1.1731931){:target=""_blank""} "
" Q.PH1.017.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""VWPF""></a> Visible water population fraction ", -- , $p_j$ , The water population fraction inside compartment j. , Unitless , -- 
 Q.PH1.999 ," <a id=""not listed PH1""></a> Quantity not listed ", -- , -- ," This is a custom free-text item, which can be used if a quantity of interest is not listed. Please state a literature reference and request the item to be added to the lexicon for future usage. ", [variable] , -- 
