Code,OSIPI name,Alternative names,Notation,Description,OSIPI units,Reference
 -- , -- , -- , -- , -- , -- , -- 
" Q.EL1.001.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""R1""></a> Longitudinal relaxation rate ", *R<sub>1</sub>* -relaxation rate ," $R_{1,j}$ ", Longitudinal relaxation rate in compartment *j*. , 1/s , -- 
" Q.EL1.002.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""R10""></a> Native longitudinal relaxation rate ",Baseline *R<sub>1</sub>* ," $R_{10,j}$ ", Longitudinal relaxation rate in compartment *j*. , 1/s , -- 
" Q.EL1.003.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""DeltaR1""></a> Change in longitudinal relaxation rate  ", -- ," $\Delta R_{1,j}^*$ "," Change in longitudinal relaxation rate with respect to $R_{10,j}$ in compartment *j*. ", 1/s , -- 
" Q.EL1.004.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""R2""></a>  Transverse relaxation rate (SE) ", *R<sub>2</sub>*-relaxation rate ," $R_{2,j}$ ", Natural transverse relaxation rate (observed using a SE) in compartment *j*. , 1/s , -- 
" Q.EL1.005.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""R20""></a> Native transverse relaxation rate (SE) ",Baseline *R<sub>2</sub>*-relaxation rate ," $R_{20,j}$ ", Pre-contrast natural transverse relaxation rate (observed using a SE) in compartment *j*. , 1/s , -- 
" Q.EL1.006.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""DeltaR2""></a> Change in transverse relaxation rate (SE)  ", -- ," $\Delta R_{2,j}$ ", Change in natural transverse relaxation rate (observed using a SE) with respect to $R_{20}$ in compartment *j*. , 1/s , -- 
" Q.EL1.007.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""R2Star""></a> Transverse relaxation rate (GE) ", $R_{2}^*$-relaxation rate ," $R_{2,j}^*$ ", Effective transverse relaxation rate (observed using a GE) in compartment *j*. , 1/s , -- 
" Q.EL1.008.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""R2Star0""></a> Native transverse relaxation rate (GE) ", Baseline $R_{2}^*$ ," $R_{20,j}^*$ ", Pre-contrast effective transverse relaxation rate (observed using a GE) in compartment *j*. , 1/s , -- 
" Q.EL1.009.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""DeltaR2Star""></a> Change in transverse relaxation rate (GE) ", -- ," $\Delta R_{2,j}^*$ ", Change in effective transverse relaxation rate (observed using a GE) with respect to $R_{20}^*$ in compartment *j*., 1/s , -- 
" Q.EL1.010 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""R2ref""></a> Change in a reference transverse relaxation rate  ", -- ," $\overline{\Delta R}_{2,ref}^*$ ", Average change in effective transverse relaxation rate in a reference area with no indicator extravasation. , 1/s , -- 
" Q.EL1.011.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Chi""></a> Molar magnetic susceptibility ", -- , $\chi_j$ , Molar magnetic susceptibility in compartment *j*. , mL/mol , -- 
" Q.EL1.012.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Chi0""></a> Native molar magnetic susceptibility ", Baseline $\chi$ ," $\chi_{0,j}$ ", Pre-contrast molar magnetic susceptibility in compartment *j*. , mL/mol , -- 
" Q.EL1.013.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> ","  <a id=""DeltaChi""></a> Change in molar magnetic susceptibility ", -- , $\Delta \chi_j$ , Change in molar magnetic susceptibility with respect to $\chi_{0}$ in compartment *j*.  , mL/mol , -- 
" Q.EL1.014.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""DelChi""></a>  Molar magnetic susceptibility change per unit concentration of indicator ", -- , $\delta \chi_j$ , Molar magnetic susceptibility change per unit concentration of indicator in compartment *j*. , mL/mol/mM, -- 
" Q.EL1.015.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""r1""></a> Longitudinal relaxivity ", *r<sub>1</sub>* -relaxivity ," *r<sub>1,j</sub>* ", Longitudinal relaxivity in compartment *j*. , 1/s/mM , -- 
" Q.EL1.016.[j] <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""r2""></a> Transverse relaxivity (SE) ", *r<sub>2</sub>* -relaxivity ," *r<sub>2,j</sub>*  ", Transverse relaxivity (observed using a SE) in compartment *j*. , 1/s/mM , -- 
" Q.EL1.017 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""r2star""></a> Transverse relaxivity (GE) ", *r<sub>2</sub><sup>*</sup>* -relaxivity , *r<sub>2</sub><sup>*</sup>* , Transverse relaxivity (observed using a GE) in the voxel. , 1/s/mM , -- 
" Q.EL1.018 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""r1f""></a> Longitudinal relaxivity of free indicator ", -- ,"  *r<sub>1,f</sub>* ", Longitudinal relaxivity of free (unbound) indicator. , 1/s/mM , -- 
" Q.EL1.019 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""r1b""></a> Longitudinal relaxivity of bound indicator ", -- ," *r<sub>1,b</sub>*  ", Longitudinal relaxivity of bound indicator. , 1/s/mM , -- 
" Q.EL1.020 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""k1k2""></a> Transverse relaxivities of the quadratic model (GE) ", -- ," [*k<sub>1</sub>*,k<sub>2</sub>] ", First and second order relaxivities for the quadratic model of the transverse relaxation rate (GE) ," [1/s/mM,1/s/mM]", -- 
 Q.EL1.999 ," <a id=""not listed EL1""></a> Quantity not listed ", -- , -- ," This is a custom free-text item, which can be used if a quantity of interest is not listed. Please state a literature reference and request the item to be added to the lexicon for future usage. ", [variable] , -- 
