Code,OSIPI name,Alternative names,Notation,Description,OSIPI units,Reference
 -- , -- , -- , -- , -- , -- , -- 
" Q.OP1.001 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""MP""></a> Model parameters ", -- ,"$\phi$, MP ", A vector of quantities which are the variable of the model fitting process. Select from section Q. , [variable units] , -- 
" Q.OP1.002 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""SMP""></a> Static model parameters ", --," $\theta$, SMP ", A vector of the quantities of the forward model to be fitted which are not in the scope of the optimization. Select from section Q. , [variable units] , -- 
" Q.OP1.003 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""EMP""></a> Estimated model parameter ", -- ," $\hat{\phi}$, EMP "," A vector (in the same order as model parameters, indicated with “^”) of the estimated model parameters resulting from the optimization process. ", [variable units] , -- 
" Q.OP1.004 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CostValue""></a> Cost value ", -- , *C* , The scalar or vectorial value of a specified cost function. , [variable units] , -- 
" Q.OP1.005 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""CostValue_min""></a> Cost value minimum ", -- , $C_{opt}$, The minimum cost value as returned by an optimizer. This can be a local or global minimum. , [variable units] , -- 
" Q.OP1.006 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""MP_init""></a> Initial model parameters ", -- , $\phi_{init}$ , Vector of the starting values of the search for the model parameters. , [variable units] , -- 
" Q.OP1.007 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""MP_L""></a> Model parameter lower bounds ", -- , $\phi_{LB}$ , Vector of the lower bounds for the search for the model parameters. , [variable units] , -- 
" Q.OP1.008 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""MP_U""></a> Model parameter upper bounds ", -- , $\phi_{UB}$ , Vector of the upper bounds for the search for the model parameters. , [variable units]  , -- 
" Q.OP1.009 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Weights""></a> Data weights ", -- , $\omega$ , Vector of weights on the measured values during the optimization process. , -- , -- 
" Q.OP1.010 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""N_iter_max""></a> Maximum <br>number of iterations ", -- ," $N_{it, max}$ ", Largest number of steps taken in an iterative optimization. , - , -- 
" Q.OP1.011 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""ConvThresh""></a> Convergence threshold ", -- , *e* , Convergence threshold on the optimizer. , -- , -- 
" Q.OP1.012 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""A""></a> Linear coefficients matrix ", -- ,*A* , A matrix with elements A<sub>ij</sub> with which a function linear in the model parameters  can be  expressed as $f(\phi;x_i)= \sum_{j=1}^{m}A_{ij}\phi_j$. <br />The $A_{ij}$ contain the data grid and the static model parameters., -- , -- 
" Q.OP1.013 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Lambda""></a> Regularization parameter ", -- , $\lambda$ , A parameter which determines the weight of the regularization in an optimization.  , -- , -- 
" Q.OP1.014 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Lambda_norm""></a> Normalized regularization parameter ", -- , $\hat{\lambda}$ , The regularization parameter is expressed relative to the largest singular value $\sigma_1$ of a SVD: $\hat{\lambda}=\frac{\lambda}{\sigma_1}$ ., -- , -- 
" Q.OP1.015 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Lambda_fixed""></a> Fixed $\lambda$ value ", -- , $\lambda_{fixed}$ ," A fixed value, e.g. a literature value, assumed as regularization parameter. ", -- , -- 
 Q.OP1.999 ," <a id=""not listed OP1""></a> Quantity not listed ", -- , -- ," This is a custom free-text item, which can be used if a quantity of interest is not listed. Please state a literature reference and request the item to be added to the lexicon for future usage. ", [variable] , -- 
